file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20260414_174635_3664feeb_result.json,yes,291,yes,65,yes,con thinking,77,1,New York,married,upper secondary,retired,transgender,reading novels;gardening;volunteering,native-born American,not applicable,moderate,61,moderate,53,moderate,40,low,30,low,11,upper secondary,no formal education,curious,Buddhism,heterosexual,You spend several hours daily on social media
20260414_174635_6596099b_result.json,yes,253,yes,89,yes,con thinking,56,2,Bari,married,PhD,self-employed,transgender,yoga;volunteering;running;travel;board games,immigrant,UX designer,high,91,moderate,48,moderate,65,low,10,low,7,vocational diploma,vocational diploma,depressed,Christianity,heterosexual,You spend roughly one hour daily on social media
20260414_174635_8b17f72d_result.json,yes,297,yes,65,yes,con thinking,34,2,Los Angeles,married,vocational diploma,unemployed,man,hiking;photography,native-born American,not applicable,moderate,50,high,77,low,12,moderate,59,moderate,54,bachelor's degree,bachelor's degree,normal,Atheist,bisexual,You spend roughly a few times weekly on social media
20260414_174636_215501bf_result.json,yes,297,yes,83,yes,con thinking,71,1,Los Angeles,divorced,bachelor's degree,retired,non-binary,reading novels;gardening;travel;cooking,native-born American,not applicable,moderate,39,high,92,moderate,39,moderate,59,low,19,vocational diploma,upper secondary,curious,Atheist,heterosexual,You spend a few times monthly on social media
20260414_174636_851c56ed_result.json,yes,311,yes,79,yes,con thinking,83,1,Bari,married,vocational diploma,retired,man,birdwatching;reading novels,native-born Italian,not applicable,moderate,41,moderate,38,high,89,low,32,low,29,no formal education,master's degree,creative,Hinduism,heterosexual,You spend roughly one hour daily on social media
20260414_174636_873e44e8_result.json,yes,306,yes,73,yes,con thinking,32,2,Bari,in a relationship,primary school,employed full-time,transgender,videogames;yoga;football (calcio);reading novels;knitting,native-born Italian,retail worker,low,3,high,75,moderate,36,moderate,56,moderate,51,primary school,vocational diploma,anxious,Christianity,bisexual,You spend roughly a few times weekly on social media
20260414_174636_f8f9e2c1_result.json,yes,294,yes,81,yes,con thinking,75,2,Philadelphia,divorced,upper secondary,retired,non-binary,football (calcio);running;birdwatching;classical music,native-born American,not applicable,low,7,low,27,low,0,low,25,moderate,49,lower secondary,bachelor's degree,anxious,Christianity,heterosexual,You spend a few times monthly on social media
20260414_174639_4198924d_result.json,yes,336,yes,78,yes,con thinking,29,0,Kansas City,in a relationship,no formal education,employed full-time,man,cycling;rock climbing;cinema;knitting;yoga,immigrant,sales associate,low,24,high,69,high,86,high,75,moderate,51,lower secondary,upper secondary,normal,Buddhism,heterosexual,You spend several hours daily on social media
20260414_174659_d889c739_result.json,yes,249,yes,74,yes,con thinking,60,2,Bari,divorced,master's degree,full-time student,woman,reading novels;cycling,native-born Italian,not applicable,high,81,high,75,moderate,57,moderate,52,low,29,PhD,upper secondary,curious,Atheist,heterosexual,You spend roughly a few times weekly on social media
20260414_174700_60e1ebb9_result.json,yes,318,yes,90,yes,con thinking,77,1,Milan,married,lower secondary,retired,man,running;rock climbing;videogames,immigrant,not applicable,high,88,high,98,moderate,64,high,87,low,10,vocational diploma,PhD,creative,Christianity,heterosexual,You spend a few times monthly on social media
20260414_174701_ea229bee_result.json,yes,291,yes,69,yes,con thinking,37,1,New York,divorced,vocational diploma,employed full-time,man,yoga;classical music,native-born American,electrician,low,18,low,25,moderate,58,moderate,37,moderate,53,lower secondary,vocational diploma,creative,Hinduism,bisexual,You have no social media
20260414_174702_6c579c83_result.json,yes,282,yes,98,yes,con thinking,47,2,Philadelphia,divorced,lower secondary,unemployed,woman,painting;football (calcio);cooking;baking,immigrant,not applicable,low,31,low,11,high,78,high,89,high,81,no formal education,vocational diploma,depressed,Buddhism,bisexual,You spend a few times monthly on social media
20260414_174703_a6ec1a0e_result.json,yes,311,yes,105,yes,con thinking,83,4,Los Angeles,widowed,vocational diploma,retired,woman,birdwatching;reading novels;knitting;painting,native-born American,not applicable,moderate,53,high,88,high,92,moderate,38,low,31,vocational diploma,upper secondary,curious,Islam,bisexual,You have no social media
20260414_174703_b1fc884f_result.json,yes,352,yes,77,yes,con thinking,85,1,Lecce,widowed,vocational diploma,retired,man,painting;hiking,immigrant,not applicable,moderate,56,high,67,low,18,low,10,high,73,upper secondary,bachelor's degree,normal,Islam,heterosexual,You spend several hours daily on social media
20260414_174704_878d0736_result.json,yes,315,yes,95,yes,con thinking,33,1,Bari,married,master's degree,employed full-time,man,photography;running;volunteering;reading novels;hiking,native-born Italian,startup founder,low,27,low,3,moderate,46,high,81,moderate,63,lower secondary,vocational diploma,creative,Islam,heterosexual,You spend roughly one hour daily on social media
20260414_174706_b5a35ecf_result.json,yes,325,yes,99,yes,con thinking,54,2,Bari,divorced,vocational diploma,employed full-time,woman,knitting;board games;birdwatching;cooking;cycling,native-born Italian,sales associate,low,17,low,5,high,87,high,96,high,88,upper secondary,primary school,anxious,Islam,heterosexual,You spend a few times monthly on social media
20260414_174723_d46d8f8b_result.json,yes,256,yes,67,yes,con thinking,28,0,Lecce,single,vocational diploma,self-employed,man,football (calcio);gardening;cinema;travel;running,immigrant,cleaner,moderate,47,high,86,low,4,low,0,high,83,lower secondary,master's degree,depressed,Buddhism,asexual,You spend a few times monthly on social media
20260414_174725_7257aa9b_result.json,yes,283,yes,84,yes,con thinking,20,0,Washington DC,single,vocational diploma,full-time student,man,videogames;cooking;knitting;classical music,immigrant,not applicable,low,22,low,19,moderate,38,moderate,64,high,84,vocational diploma,bachelor's degree,curious,Christianity,bisexual,You spend several hours daily on social media
20260414_174727_612d0673_result.json,yes,299,yes,64,yes,con thinking,84,2,Rome,divorced,upper secondary,retired,non-binary,birdwatching;classical music,native-born Italian,not applicable,high,94,high,96,high,78,high,95,high,97,vocational diploma,upper secondary,anxious,Christianity,heterosexual,You have no social media
20260414_174727_7701a917_result.json,yes,322,yes,77,yes,con thinking,36,0,Milan,married,upper secondary,employed full-time,man,board games;birdwatching,native-born Italian,retail worker,moderate,61,low,21,low,26,high,85,low,10,vocational diploma,vocational diploma,with good mental health,Islam,heterosexual,You spend roughly one hour daily on social media
20260414_174728_f63c9daa_result.json,yes,297,yes,95,yes,con thinking,48,1,Washington DC,in a relationship,primary school,unemployed,man,hiking;rock climbing;cooking,native-born American,not applicable,moderate,51,low,7,moderate,64,high,80,high,85,master's degree,vocational diploma,creative,Christianity,asexual,You spend a few times monthly on social media
20260414_174729_04c5944a_result.json,yes,307,yes,73,yes,con thinking,34,2,Chicago,in a relationship,vocational diploma,employed full-time,woman,cinema;classical music,native-born American,mechanic,low,16,low,19,low,10,high,76,low,0,lower secondary,lower secondary,normal,Judaism,heterosexual,You have no social media
20260414_174732_09389dc0_result.json,yes,329,yes,75,yes,con thinking,48,0,Bologna,divorced,vocational diploma,employed full-time,man,gardening;travel;reading novels,native-born Italian,delivery driver,moderate,47,high,82,high,84,low,10,high,68,master's degree,vocational diploma,creative,Christianity,heterosexual,You spend a few times monthly on social media
20260414_174735_fe107fa3_result.json,yes,327,yes,94,yes,con thinking,87,1,Chicago,in a relationship,primary school,employed part-time,man,photography;cinema;birdwatching;classical music;travel,immigrant,electrician,high,94,moderate,53,high,98,low,25,high,69,primary school,PhD,anxious,Agnostic,bisexual,You spend roughly a few times weekly on social media
20260414_174750_dd7362f5_result.json,yes,289,yes,78,yes,con thinking,30,1,Lecce,single,no formal education,unemployed,woman,cinema;rock climbing;running,native-born Italian,not applicable,moderate,47,high,84,low,5,high,83,low,31,upper secondary,no formal education,anxious,Christianity,heterosexual,You spend a few times monthly on social media
20260414_174752_5837d9a0_result.json,yes,263,yes,81,yes,con thinking,86,1,Los Angeles,single,vocational diploma,retired,non-binary,football (calcio);travel;photography,native-born American,not applicable,moderate,49,high,83,high,98,low,30,moderate,53,master's degree,upper secondary,normal,Atheist,heterosexual,You have no social media
20260414_174752_a90e8ecd_result.json,yes,286,yes,70,yes,con thinking,44,1,Chicago,in a relationship,upper secondary,employed full-time,man,reading novels;cinema;board games,immigrant,fitness trainer,moderate,47,low,20,moderate,59,moderate,40,moderate,45,master's degree,no formal education,anxious,Agnostic,heterosexual,You spend a few times monthly on social media
20260414_174754_af055f0b_result.json,yes,300,yes,104,yes,con thinking,32,2,New York,in a relationship,upper secondary,self-employed,woman,baking;yoga;painting;cooking,native-born American,retail worker,moderate,66,low,15,low,28,high,86,moderate,34,no formal education,primary school,normal,Buddhism,heterosexual,You spend roughly one hour daily on social media
