file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,biological_sex,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,marital_status,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20251014_200232_result.json,yes,247,yes,111,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_200317_result.json,yes,248,yes,88,yes,con thinking,68,female,4,Los Angeles,,vocational diploma,employed full-time,agender,running;reading novels;baking,in a relationship,native American,delivery driver,moderate,66,high,97,low,15,low,20,low,29,master's degree,PhD,creative,Atheist,heterosexual,You spend a few times monthly on social media
20251014_200402_result.json,yes,229,yes,94,yes,con thinking,64,female,3,Philadelphia,,master's degree,employed part-time,genderqueer,gardening;yoga;cooking,single,native American,hairdresser,low,27,moderate,60,low,29,high,100,moderate,39,master's degree,vocational diploma,creative,Islam,bisexual,You spend roughly one hour daily on social media
20251014_200426_result.json,yes,187,yes,66,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_200451_result.json,yes,200,yes,58,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_202739_result.json,yes,234,yes,114,yes,con thinking,88,male,2,Bologna,,bachelor's degree,employed part-time,man,painting;hiking,widowed,native Italian,university professor,moderate,38,low,17,low,21,low,4,moderate,40,primary school,vocational diploma,normal,Christianity,heterosexual,You spend a few times monthly on social media
20251014_202813_result.json,yes,269,yes,131,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_202852_result.json,yes,183,yes,76,yes,con thinking,63,female,1,Lecce,,master's degree,employed full-time,woman,rock climbing;cooking;birdwatching,widowed,immigrant,mechanic,low,23,low,32,low,28,high,94,low,9,master's degree,primary school,with good mental health,Christianity,heterosexual,You spend several hours daily on social media
20251014_202932_result.json,yes,188,yes,81,yes,con thinking,41,female,2,Kansas City,,master's degree,employed part-time,man,painting;volunteering,single,immigrant,engineer,low,25,low,16,low,8,moderate,47,moderate,59,no formal education,lower secondary,curious,Atheist,heterosexual,You spend roughly one hour daily on social media
20251014_203014_result.json,yes,214,yes,81,yes,con thinking,35,female,4,New York,,bachelor's degree,employed part-time,man,painting;baking;yoga,married,immigrant,chef,low,27,moderate,34,moderate,59,low,12,low,31,PhD,no formal education,normal,Christianity,homosexual,You spend several hours daily on social media
20251014_203057_result.json,yes,182,yes,111,yes,con thinking,67,female,5,Bologna,,master's degree,student,man,knitting;cycling;hiking;board games,married,immigrant,mechanic,low,17,high,80,moderate,51,low,20,moderate,47,master's degree,lower secondary,normal,Buddhism,heterosexual,You spend roughly one hour daily on social media
20251014_203132_result.json,yes,259,yes,139,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203222_result.json,yes,296,yes,125,yes,con thinking,72,male,0,Lecce,,PhD,self-employed,man,videogames;gardening,widowed,native Italian,university professor,low,25,low,8,low,20,moderate,41,moderate,44,no formal education,primary school,depressed,Islam,bisexual,You spend roughly one hour daily on social media
20251014_203309_result.json,yes,222,yes,126,yes,con thinking,42,male,5,Chicago,,no formal education,self-employed,agender,videogames;volunteering;cycling,in a relationship,native American,sales associate,high,88,high,79,high,67,high,87,low,9,lower secondary,vocational diploma,creative,Agnostic,homosexual,You spend several hours daily on social media
20251014_203338_result.json,yes,240,yes,80,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203408_result.json,yes,252,yes,76,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203451_result.json,yes,210,yes,85,yes,con thinking,70,male,4,Lecce,,lower secondary,student,man,cinema;hiking;classical music,single,immigrant,barista,low,6,moderate,58,moderate,61,high,70,moderate,65,upper secondary,primary school,with good mental health,Christianity,bisexual,You have no social media
20251014_203526_result.json,yes,334,yes,67,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203620_result.json,yes,313,yes,99,yes,con thinking,73,male,5,Bologna,,bachelor's degree,student,genderqueer,yoga;baking;cooking,widowed,immigrant,journalist,low,15,moderate,51,high,96,low,11,high,78,no formal education,primary school,with good mental health,Hinduism,asexual,You spend roughly one hour daily on social media
20251014_203706_result.json,yes,224,yes,81,yes,con thinking,21,female,3,Milan,,PhD,unemployed,genderqueer,photography;painting;volunteering;running;rock climbing,married,immigrant,university researcher,moderate,52,moderate,50,low,3,moderate,34,high,91,PhD,no formal education,depressed,Agnostic,asexual,You spend roughly one hour daily on social media
20251014_203750_result.json,yes,191,yes,81,yes,con thinking,77,female,1,Lecce,,PhD,employed part-time,woman,board games;baking;birdwatching,married,native Italian,startup founder,moderate,39,high,96,low,13,low,25,high,81,primary school,no formal education,with good mental health,Christianity,heterosexual,You spend several hours daily on social media
20251014_203826_result.json,yes,274,yes,143,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203852_result.json,yes,218,yes,76,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_203926_result.json,yes,248,yes,134,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204000_result.json,yes,272,yes,122,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204028_result.json,yes,223,yes,77,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204111_result.json,yes,192,yes,95,yes,con thinking,58,female,5,Naples,,master's degree,employed part-time,woman,rock climbing;cycling,single,native Italian,barista,moderate,53,low,10,low,9,low,2,low,25,vocational diploma,no formal education,anxious,Hinduism,heterosexual,You spend several hours daily on social media
20251014_204155_result.json,yes,216,yes,78,yes,con thinking,76,male,3,Rome,,upper secondary,student,transgender,volunteering;reading novels,married,native Italian,plumber,high,92,moderate,36,high,68,high,100,low,24,PhD,primary school,depressed,Agnostic,asexual,You spend several hours daily on social media
20251014_204227_result.json,yes,235,yes,120,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204300_result.json,yes,263,yes,116,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014_204345_result.json,yes,233,yes,86,yes,con thinking,58,male,4,Rome,,vocational diploma,retired,transgender,cooking;gardening;videogames;volunteering,divorced,immigrant,carpenter,high,99,high,96,high,93,low,17,high,72,PhD,PhD,creative,Islam,bisexual,You have no social media
20251014_204427_result.json,yes,202,yes,101,yes,con thinking,32,female,1,Bologna,,no formal education,self-employed,transgender,photography;knitting;cycling;yoga,single,native Italian,fitness trainer,high,77,moderate,46,low,30,low,13,low,18,bachelor's degree,primary school,creative,Christianity,heterosexual,You spend several hours daily on social media
20251014_204519_result.json,yes,223,yes,144,yes,con thinking,73,female,0,New York,,primary school,retired,man,gardening;birdwatching,widowed,immigrant,retail worker,low,6,low,15,moderate,41,high,93,moderate,48,upper secondary,lower secondary,curious,Judaism,heterosexual,You spend roughly one hour daily on social media
