file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,biological_sex,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,marital_status,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20251009_155507_run-0.json,yes,234,yes,41,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_155507_run-1.json,yes,273,yes,41,yes,con thinking,75,female,3,Milan,,vocational diploma,employed part-time,non-binary,gardening;photography;football (calcio);cinema;hiking,single,native Italian,retail worker,high,69,low,3,high,83,low,1,low,2,primary school,PhD,creative,Christianity,bisexual,You spend several hours daily on social media
20251009_180045_run-0.json,yes,374,yes,97,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_180045_run-1.json,yes,356,yes,103,yes,con thinking,75,female,3,Milan,,vocational diploma,employed part-time,non-binary,gardening;photography;football (calcio);cinema;hiking,single,native Italian,retail worker,high,69,low,3,high,83,low,1,low,2,primary school,PhD,creative,Christianity,bisexual,You spend several hours daily on social media
20251009_180533_run-0.json,yes,376,yes,89,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_180533_run-1.json,yes,397,yes,109,yes,con thinking,75,female,3,Milan,,vocational diploma,employed part-time,non-binary,gardening;photography;football (calcio);cinema;hiking,single,native Italian,retail worker,high,69,low,3,high,83,low,1,low,2,primary school,PhD,creative,Christianity,bisexual,You spend several hours daily on social media
20251009_180534_run-5.json,yes,386,yes,102,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_180534_run-6.json,yes,349,yes,151,yes,con thinking,78,female,4,Rome,,vocational diploma,self-employed,woman,knitting;birdwatching;gardening,divorced,immigrant,barista,low,11,high,78,high,87,moderate,54,high,84,PhD,upper secondary,curious,Hinduism,heterosexual,You spend several hours daily on social media
20251009_180534_run-7.json,yes,362,yes,115,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_180534_run-9.json,yes,377,yes,136,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009_180921_run-0.json,yes,368,yes,116,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
